date,exception_type,service_id
20200101,1,土日、祝日
20200101,2,平日
20200102,1,土日、祝日
20200102,2,平日
20200103,1,土日、祝日
20200103,2,平日
20200104,1,土日、祝日
20200104,2,平日
20200113,1,土日、祝日
20200113,2,平日
20200211,1,土日、祝日
20200211,2,平日
20200223,1,土日、祝日
20200223,2,平日
20200224,1,土日、祝日
20200224,2,平日
20200320,1,土日、祝日
20200320,2,平日
20200429,1,土日、祝日
20200429,2,平日
20200503,1,土日、祝日
20200503,2,平日
20200504,1,土日、祝日
20200504,2,平日
20200505,1,土日、祝日
20200505,2,平日
20200506,1,土日、祝日
20200506,2,平日
20200723,1,土日、祝日
20200723,2,平日
20200724,1,土日、祝日
20200724,2,平日
20200810,1,土日、祝日
20200810,2,平日
20200813,1,土日、祝日
20200813,2,平日
20200814,1,土日、祝日
20200814,2,平日
20200815,1,土日、祝日
20200815,2,平日
20200921,1,土日、祝日
20200921,2,平日
20200922,1,土日、祝日
20200922,2,平日
20201103,1,土日、祝日
20201103,2,平日
20201123,1,土日、祝日
20201123,2,平日
