trip_id,trip_sequence,stop_id,arrival_time,departure_time
3WA01,1,314A,6:30:00,6:30:00
3WA01,2,315A,6:33:00,6:33:00
3WA01,3,316A,6:34:00,6:34:00
3WA01,4,317A,6:35:00,6:35:00
3WA01,5,318A,6:36:00,6:36:00
3WA01,6,319A,6:37:00,6:37:00
3WA01,7,320A,6:38:00,6:38:00
3WA01,8,321A,6:42:00,6:42:00
3WA01,9,322A,6:44:00,6:44:00
3WA01,10,323A,6:47:00,6:47:00
3WA01,11,324A,6:49:00,6:49:00
3WA01,12,325A,6:50:00,6:50:00
3WA01,13,326A,6:51:00,6:51:00
3WA01,14,327A,6:52:00,6:52:00
3WA01,15,328A,6:53:00,6:53:00
3WA01,16,329A,6:57:00,6:57:00
3WA02,1,301A,6:30:00,6:30:00
3WA02,2,302A,6:31:00,6:31:00
3WA02,3,303A,6:32:00,6:32:00
3WA02,4,304A,6:33:00,6:33:00
3WA02,5,305A,6:34:00,6:34:00
3WA02,6,306A,6:35:00,6:35:00
3WA02,7,307A,6:36:00,6:36:00
3WA02,8,308A,6:38:00,6:38:00
3WA02,9,309A,6:39:00,6:39:00
3WA02,10,310A,6:41:00,6:41:00
3WA02,11,311A,6:42:00,6:42:00
3WA02,12,312A,6:43:00,6:43:00
3WA02,13,313A,6:44:00,6:44:00
3WA02,14,314A,6:46:00,6:46:00
3WA02,15,315A,6:49:00,6:49:00
3WA02,16,316A,6:50:00,6:50:00
3WA02,17,317A,6:51:00,6:51:00
3WA02,18,318A,6:52:00,6:52:00
3WA02,19,319A,6:53:00,6:53:00
3WA02,20,320A,6:54:00,6:54:00
3WA02,21,321A,6:58:00,6:58:00
3WA02,22,322A,7:00:00,7:00:00
3WA02,23,323A,7:03:00,7:03:00
3WA02,24,324A,7:05:00,7:05:00
3WA02,25,325A,7:06:00,7:06:00
3WA02,26,326A,7:07:00,7:07:00
3WA02,27,327A,7:08:00,7:08:00
3WA02,28,328A,7:09:00,7:09:00
3WA02,29,329A,7:13:00,7:13:00
3WA03,1,301A,7:00:00,7:00:00
3WA03,2,302A,7:01:00,7:01:00
3WA03,3,303A,7:02:00,7:02:00
3WA03,4,304A,7:03:00,7:03:00
3WA03,5,305A,7:04:00,7:04:00
3WA03,6,306A,7:05:00,7:05:00
3WA03,7,307A,7:06:00,7:06:00
3WA03,8,308A,7:08:00,7:08:00
3WA03,9,309A,7:09:00,7:09:00
3WA03,10,310A,7:11:00,7:11:00
3WA03,11,311A,7:12:00,7:12:00
3WA03,12,312A,7:13:00,7:13:00
3WA03,13,313A,7:14:00,7:14:00
3WA03,14,314A,7:16:00,7:16:00
3WA03,15,315A,7:19:00,7:19:00
3WA03,16,316A,7:20:00,7:20:00
3WA03,17,317A,7:21:00,7:21:00
3WA03,18,318A,7:22:00,7:22:00
3WA03,19,319A,7:23:00,7:23:00
3WA03,20,320A,7:24:00,7:24:00
3WA03,21,321A,7:28:00,7:28:00
3WA03,22,322A,7:30:00,7:30:00
3WA03,23,323A,7:33:00,7:33:00
3WA03,24,324A,7:35:00,7:35:00
3WA03,25,325A,7:36:00,7:36:00
3WA03,26,326A,7:37:00,7:37:00
3WA03,27,327A,7:38:00,7:38:00
3WA03,28,328A,7:39:00,7:39:00
3WA03,29,329A,7:43:00,7:43:00
3WA04,1,301A,7:24:00,7:24:00
3WA04,2,302A,7:25:00,7:25:00
3WA04,3,303A,7:26:00,7:26:00
3WA04,4,304A,7:27:00,7:27:00
3WA04,5,305A,7:28:00,7:28:00
3WA04,6,306A,7:29:00,7:29:00
3WA04,7,307A,7:30:00,7:30:00
3WA04,8,308A,7:32:00,7:32:00
3WA04,9,309A,7:33:00,7:33:00
3WA04,10,310A,7:35:00,7:35:00
3WA04,11,311A,7:36:00,7:36:00
3WA04,12,312A,7:37:00,7:37:00
3WA04,13,313A,7:38:00,7:38:00
3WA04,14,314A,7:40:00,7:40:00
3WA04,15,315A,7:43:00,7:43:00
3WA04,16,316A,7:44:00,7:44:00
3WA04,17,317A,7:45:00,7:45:00
3WA04,18,318A,7:46:00,7:46:00
3WA04,19,319A,7:47:00,7:47:00
3WA04,20,320A,7:48:00,7:48:00
3WA04,21,321A,7:52:00,7:52:00
3WA04,22,322A,7:54:00,7:54:00
3WA04,23,323A,7:57:00,7:57:00
3WA04,24,324A,7:59:00,7:59:00
3WA04,25,325A,8:00:00,8:00:00
3WA04,26,326A,8:01:00,8:01:00
3WA04,27,327A,8:02:00,8:02:00
3WA04,28,328A,8:03:00,8:03:00
3WA04,29,329A,8:07:00,8:07:00
3WA04,30,330A,8:08:00,8:08:00
3WA04,31,331A,8:10:00,8:10:00
3WA04,32,332A,8:12:00,8:12:00
3WA04,33,333A,8:13:00,8:13:00
3WA04,34,334A,8:15:00,8:15:00
3WA04,35,335A,8:16:00,8:16:00
3WA04,36,336A,8:20:00,8:20:00
3WA04,37,337A,8:23:00,8:23:00
3WA04,38,338A,8:25:00,8:25:00
3WA04,39,339A,8:26:00,8:26:00
3WA04,40,340A,8:28:00,8:28:00
3WA04,41,341A,8:29:00,8:29:00
3WA04,42,342A,8:35:00,8:35:00
3WA05,1,301A,7:50:00,7:50:00
3WA05,2,302A,7:51:00,7:51:00
3WA05,3,303A,7:52:00,7:52:00
3WA05,4,304A,7:53:00,7:53:00
3WA05,5,305A,7:54:00,7:54:00
3WA05,6,306A,7:55:00,7:55:00
3WA05,7,307A,7:56:00,7:56:00
3WA05,8,308A,7:58:00,7:58:00
3WA05,9,309A,7:59:00,7:59:00
3WA05,10,310A,8:01:00,8:01:00
3WA05,11,311A,8:02:00,8:02:00
3WA05,12,312A,8:03:00,8:03:00
3WA05,13,313A,8:04:00,8:04:00
3WA05,14,314A,8:06:00,8:06:00
3WA05,15,315A,8:09:00,8:09:00
3WA05,16,316A,8:10:00,8:10:00
3WA05,17,317A,8:11:00,8:11:00
3WA05,18,318A,8:12:00,8:12:00
3WA05,19,319A,8:13:00,8:13:00
3WA05,20,320A,8:14:00,8:14:00
3WA05,21,321A,8:18:00,8:18:00
3WA05,22,322A,8:20:00,8:20:00
3WA05,23,323A,8:23:00,8:23:00
3WA05,24,324A,8:25:00,8:25:00
3WA05,25,325A,8:26:00,8:26:00
3WA05,26,326A,8:27:00,8:27:00
3WA05,27,327A,8:28:00,8:28:00
3WA05,28,328A,8:29:00,8:29:00
3WA05,29,329A,8:33:00,8:33:00
3WA06,1,301A,8:20:00,8:20:00
3WA06,2,302A,8:21:00,8:21:00
3WA06,3,303A,8:22:00,8:22:00
3WA06,4,304A,8:23:00,8:23:00
3WA06,5,305A,8:24:00,8:24:00
3WA06,6,306A,8:25:00,8:25:00
3WA06,7,307A,8:26:00,8:26:00
3WA06,8,308A,8:28:00,8:28:00
3WA06,9,309A,8:29:00,8:29:00
3WA06,10,310A,8:31:00,8:31:00
3WA06,11,311A,8:32:00,8:32:00
3WA06,12,312A,8:33:00,8:33:00
3WA06,13,313A,8:34:00,8:34:00
3WA06,14,314A,8:36:00,8:36:00
3WA06,15,315A,8:39:00,8:39:00
3WA06,16,316A,8:40:00,8:40:00
3WA06,17,317A,8:41:00,8:41:00
3WA06,18,318A,8:42:00,8:42:00
3WA06,19,319A,8:43:00,8:43:00
