stop_id,location_type,parent_station,stop_name,stop_lat,stop_lon,zone_id
301,1,,東京ベイ医療センター,35.671774,139.893955,300
301A,0,301,東京ベイ医療センター,35.671774,139.893955,300
301D,0,301,東京ベイ医療センター,35.671708,139.893222,300
302,1,,新井１丁目,35.672613,139.890003,300
302A,0,302,新井１丁目,35.672613,139.890003,300
302D,0,302,新井１丁目,35.672554,139.890460,300
303,1,,当代島水門,35.672598,139.887474,300
303A,0,303,当代島水門,35.672598,139.887474,300
303D,0,303,当代島水門,35.672735,139.886788,300
304,1,,島尻,35.673999,139.886280,300
304A,0,304,島尻,35.673999,139.886280,300
304D,0,304,島尻,35.674218,139.886391,300
305,1,,新井排水機場,35.676258,139.886612,300
305A,0,305,新井排水機場,35.676258,139.886612,300
305D,0,305,新井排水機場,35.675607,139.886552,300
306,1,,広尾防災公園,35.679205,139.889054,300
306A,0,306,広尾防災公園,35.679205,139.889054,300
306D,0,306,広尾防災公園,35.679579,139.889729,300
307,1,,広尾・相之川,35.679930,139.891459,300
307A,0,307,広尾・相之川,35.679930,139.891459,300
307D,0,307,広尾・相之川,35.679926,139.890992,300
308,1,,新井・相之川,35.678299,139.894732,300
308A,0,308,新井・相之川,35.678299,139.894732,300
308D,0,308,新井・相之川,35.678080,139.894609,300
309,1,,相之川２丁目,35.677866,139.896796,300
309A,0,309,相之川２丁目,35.677866,139.896796,300
309D,0,309,相之川２丁目,35.677893,139.896902,300
310,1,,南行徳公民館,35.678958,139.899889,300
310A,0,310,南行徳公民館,35.678958,139.899889,300
310D,0,310,南行徳公民館,35.678996,139.898637,300
311,1,,欠真間２丁目,35.677178,139.901455,300
311A,0,311,欠真間２丁目,35.677178,139.901455,300
311D,0,311,欠真間２丁目,35.677446,139.901290,300
312,1,,南行徳公園,35.675784,139.901453,300
312A,0,312,南行徳公園,35.675784,139.901453,300
312D,0,312,南行徳公園,35.676115,139.901893,300
313,1,,相之川４丁目,35.674526,139.899739,300
313A,0,313,相之川４丁目,35.674526,139.899739,300
313D,0,313,相之川４丁目,35.674634,139.899858,300
314,1,,南行徳駅,35.671493,139.901098,300
314A,0,314,南行徳駅,35.671493,139.901098,300
314D,0,314,南行徳駅,35.671404,139.900996,300
315,1,,まんせい公園,35.669417,139.904781,300
315A,0,315,まんせい公園,35.669417,139.904781,300
