trans_id,lang,translation
東京ベイ医療センター,ja,東京ベイ医療センター
東京ベイ医療センター,ja-Hrkt,とうきょうべいいりょうせんたー
新井１丁目,ja,新井１丁目
新井１丁目,ja-Hrkt,あらいいっちょうめ
当代島水門,ja,当代島水門
当代島水門,ja-Hrkt,とうだいじますいもん
島尻,ja,島尻
島尻,ja-Hrkt,しまじり
新井排水機場,ja,新井排水機場
新井排水機場,ja-Hrkt,あらいはいすいきじょう
広尾防災公園,ja,広尾防災公園
広尾防災公園,ja-Hrkt,ひろおぼうさいこうえん
広尾・相之川,ja,広尾・相之川
広尾・相之川,ja-Hrkt,ひろおあいのかわ
新井・相之川,ja,新井・相之川
新井・相之川,ja-Hrkt,あらいあいのかわ
相之川２丁目,ja,相之川２丁目
相之川２丁目,ja-Hrkt,あいのかわにちょうめ
南行徳公民館,ja,南行徳公民館
南行徳公民館,ja-Hrkt,みなみぎょうとくこうえん
欠真間２丁目,ja,欠真間２丁目
欠真間２丁目,ja-Hrkt,かけままにちょうめ
南行徳公園,ja,南行徳公園
南行徳公園,ja-Hrkt,みなみぎょうとくこうえん
相之川４丁目,ja,相之川４丁目
相之川４丁目,ja-Hrkt,あいのかわよんちょうめ
南行徳駅,ja,南行徳駅
南行徳駅,ja-Hrkt,みなみぎょうとくえき
まんせい公園,ja,まんせい公園
まんせい公園,ja-Hrkt,まんせいこうえん
南行徳１丁目,ja,南行徳１丁目
南行徳１丁目,ja-Hrkt,みなみぎょうとくいっちょうめ
福栄中学校入口,ja,福栄中学校入口
福栄中学校入口,ja-Hrkt,ふくえいちゅうがっこういりぐち
福栄,ja,福栄
福栄,ja-Hrkt,ふくえい
行徳駅前公園,ja,行徳駅前公園
行徳駅前公園,ja-Hrkt,ぎょうとくえきまえこうえん
南消防署,ja,南消防署
南消防署,ja-Hrkt,みなみしょうぼうしょ
行徳駅,ja,行徳駅
行徳駅,ja-Hrkt,ぎょうとくえき
行徳バイパス,ja,行徳バイパス
行徳バイパス,ja-Hrkt,ぎょうとくばいぱす
行徳支所・行徳公民館,ja,行徳支所・行徳公民館
行徳支所・行徳公民館,ja-Hrkt,ぎょうとくししょぎょうとくこうみんかん
南沖児童公園入口,ja,南沖児童公園入口
南沖児童公園入口,ja-hrkt,みなみおきじどうこうえんいりぐち
末広,ja,末広
末広,ja-Hrkt,すえひろ
富浜３丁目,ja,富浜３丁目
富浜３丁目,ja-Hrkt,とみはまさんちょうめ
塩焼保育園入口,ja,塩焼保育園入口
塩焼保育園入口,ja-Hrkt,しおやきほいくえんいりぐち
妙典４丁目,ja,妙典４丁目
妙典４丁目,ja-Hrkt,みょうでんよんちょうめ
妙典駅,ja,妙典駅
妙典駅,ja-Hrkt,みょうでんえき
妙典５丁目,ja,妙典５丁目
妙典５丁目,ja-Hrkt,みょうでんごちょうめ
妙典２丁目,ja,妙典２丁目
妙典２丁目,ja-Hrkt,みょうでんにちょうめ
妙好寺入口,ja,妙好寺入口
妙好寺入口,ja-Hrkt,みょうこうじいりぐち
妙典駅入口,ja,妙典駅入口
妙典駅入口,ja-Hrkt,みょうでんえきいりぐち
妙典３丁目（徳願寺）,ja,妙典３丁目（徳願寺）
妙典３丁目（徳願寺）,ja-Hrkt,みょうでんさんちょうめとくがんじ
新行徳橋南,ja,新行徳橋南
新行徳橋南,ja-Hrkt,しんぎょうとくばしみなみ
田尻２丁目,ja,田尻２丁目
田尻２丁目,ja-Hrkt,たじりにちょうめ
はなみずき公園,ja,はなみずき公園
はなみずき公園,ja-Hrkt,はなみずきこうえん
田尻３丁目,ja,田尻３丁目
田尻３丁目,ja-Hrkt,たじりさんちょうめ
ショップス前,ja,ショップス前
ショップス前,ja-Hrkt,しょっぷすまえ
第六中学校入口,ja,第六中学校入口
第六中学校入口,ja-Hrkt,だいろくちゅうがっこういりぐち
メディアパーク入口,ja,メディアパーク入口
メディアパーク入口,ja-Hrkt,めでぃあぱーくいりぐち
現代産業科学館・メディアパーク,ja,現代産業科学館・メディアパーク
現代産業科学館・メディアパーク,ja-Hrkt,げんだいさんぎょうかがくかんめでぃあぱーく
