trip_id,service_id,route_id
3WA01,平日,311A
3WA02,平日,301A
3WA03,平日,301A
3WA04,平日,300A
3WA05,平日,301A
3WA06,平日,301A
3WA07,平日,300A
3WA08,平日,301A
3WA09,平日,301A
3WA10,平日,300A
3WA11,平日,301A
3WA12,平日,301A
3WA13,平日,300A
3WA14,平日,301A
3WA15,平日,301A
3WA16,平日,300A
3WA17,平日,301A
3WA18,平日,301A
3WA19,平日,300A
3WA20,平日,301A
3WA21,平日,301A
3WA22,平日,300A
3WA23,平日,301A
3WA24,平日,301A
3WA25,平日,301A
3WA26,平日,302A
3WD01,平日,301D
3WD02,平日,301D
3WD03,平日,301D
3WD04,平日,301D
3WD05,平日,301D
3WD06,平日,301D
3WD07,平日,300D
3WD08,平日,301D
3WD09,平日,301D
3WD10,平日,300D
3WD11,平日,301D
3WD12,平日,301D
3WD13,平日,300D
3WD14,平日,301D
3WD15,平日,301D
3WD16,平日,300D
3WD17,平日,301D
3WD18,平日,301D
3WD19,平日,300D
3WD20,平日,301D
3WD21,平日,301D
3WD22,平日,300D
3WD23,平日,301D
3WD24,平日,301D
3WD25,平日,300D
3WD26,平日,311D
3HA01,土日、祝日,311A
3HA02,土日、祝日,301A
3HA03,土日、祝日,301A
3HA04,土日、祝日,300A
3HA05,土日、祝日,301A
3HA06,土日、祝日,300A
3HA07,土日、祝日,300A
3HA08,土日、祝日,301A
3HA09,土日、祝日,300A
3HA10,土日、祝日,301A
3HA11,土日、祝日,301A
3HA12,土日、祝日,300A
3HA13,土日、祝日,301A
3HA14,土日、祝日,301A
3HA15,土日、祝日,300A
3HA16,土日、祝日,301A
3HA17,土日、祝日,301A
3HA18,土日、祝日,300A
3HA19,土日、祝日,300A
3HA20,土日、祝日,301A
3HA21,土日、祝日,300A
3HA22,土日、祝日,301A
3HA23,土日、祝日,301A
3HA24,土日、祝日,302A
3HD01,土日、祝日,301D
3HD02,土日、祝日,301D
3HD03,土日、祝日,301D
3HD04,土日、祝日,301D
3HD05,土日、祝日,301D
3HD06,土日、祝日,300D
3HD07,土日、祝日,301D
3HD08,土日、祝日,300D
3HD09,土日、祝日,300D
3HD10,土日、祝日,301D
3HD11,土日、祝日,301D
3HD12,土日、祝日,300D
3HD13,土日、祝日,301D
3HD14,土日、祝日,301D
3HD15,土日、祝日,300D
3HD16,土日、祝日,301D
3HD17,土日、祝日,301D
3HD18,土日、祝日,300D
3HD19,土日、祝日,301D
3HD20,土日、祝日,300D
3HD21,土日、祝日,300D
3HD22,土日、祝日,301D
3HD23,土日、祝日,300D
3HD24,土日、祝日,311D
